SKU,SKU Description,Term,Unit of Measure,Currency,List Price
RS00298,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.4 PB, Yearly)",ANNUAL,STORAGE BAND,USD,111380.5
RS00298MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.4 PB, Monthly)",MONTH,STORAGE BAND,USD,10210.2
RS00299,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.6 PB, Yearly)",ANNUAL,STORAGE BAND,USD,127292
RS00299MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.6 PB, Monthly)",MONTH,STORAGE BAND,USD,11668.8
RS00300,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.8 PB, Yearly)",ANNUAL,STORAGE BAND,USD,143203.5
RS00300MO,"Red Hat Ceph Storage Add-on for Red Hat OpenStack Platform, Full Support (Up to 1.8 PB, Monthly)",MONTH,STORAGE BAND,USD,13127.4
RS00455,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 256TB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,11250
RS00455HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 256TB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,3.08
RS00455MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 256TB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,1125
RS00456,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 256TB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,13500
RS00456HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 256TB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,3.7
RS00456MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 256TB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,1350
RS00457,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 512TB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,21000
RS00457HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 512TB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,5.75
RS00457MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 512TB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,2100
RS00458,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 512TB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,25200
RS00458HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 512TB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,6.9
RS00458MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 512TB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,2520
RS00459,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 1PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,37500
RS00459HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 1PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,10.27
RS00459MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 1PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,3750
RS00460,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 1PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,45000
RS00460HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 1PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,12.33
RS00460MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 1PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,4500
RS00461,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 2PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,73125
RS00461HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 2PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,20.03
RS00461MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 2PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,7313
RS00462,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 2PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,87750
RS00462HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 2PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,24.04
RS00462MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 2PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,8775
RS00463,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 3PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,106875
RS00463HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 3PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,29.28
RS00463MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 3PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,10688
RS00464,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 3PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,128250
RS00464HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 3PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,35014
RS00464MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 3PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,12825
RS00465,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support, (Capacity Expansion Pack, 4PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,138750
RS00465HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support, (Capacity Expansion Pack, 4PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,38.01
RS00465MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support, (Capacity Expansion Pack, 4PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,13875
RS00466,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support, (Capacity Expansion Pack, 4PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,166500
RS00466HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support, (Capacity Expansion Pack, 4PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,45.62
RS00466MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support, (Capacity Expansion Pack, 4PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,16650
RS00467,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 5PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,168750
RS00467HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 5PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,46.23
RS00467MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 5PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,16875
RS00468,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 5PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,202500
RS00468HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 5PB, Dedicated, Hourly",HOUR,STORAGE BAND,USD,55.48
RS00468MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 5PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,20250
RS00469,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 10PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,326250
RS00469HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 10PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,89.38
RS00469MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Diagnostic Support (Capacity Expansion Pack, 10PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,32625
RS00470,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 10PB, Dedicated, Yearly)",ANNUAL,STORAGE BAND,USD,391500
RS00470HR,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 10PB, Dedicated, Hourly)",HOUR,STORAGE BAND,USD,107.26
RS00470MO,"Red Hat Storage Capacity Expansion Pack for ODF and Ceph, Full Support (Capacity Expansion Pack, 10PB, Dedicated, Monthly)",MONTH,STORAGE BAND,USD,39150
RV00078,"Red Hat Virtualization, Diagnostic Support (Socket-Pair, Dedicated, Yearly)",ANNUAL,SOCKET-PAIR,USD,906.4
RV00078MO,"Red Hat Virtualization, Diagnostic Support (Socket-Pair, Dedicated, Monthly)",MONTH,SOCKET-PAIR,USD,82.5
